,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.8858225108225108
Decision Tree,0.7213114754098361,0.7894736842105263,0.5357142857142857,0.6382978723404256,0.7072510822510821
Ranom Forset,0.7377049180327869,0.7727272727272727,0.6071428571428571,0.68,0.7278138528138529
SVM,0.819672131147541,0.84,0.75,0.7924528301886793,0.8143939393939393
